Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
Telesales Agent,Full Time,Remote,Elsobky pack,Posted 2 months ago,22,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Sales/Retail,sales skills Sales telesales agent Communication Negotiation negotiation skills Telesales CRM
Property Advisor (0-3 months experience),Full Time,On-site,,Posted 1 month ago,6,3 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Sales/Retail,Real Estate Sales Communication
Pharmacy Area Manager,Full Time,On-site,,Posted 2 months ago,69,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Operations/Management,administrative Communication Experience Financial Management Leadership Management Pharmaceutical Pharmacy Pharmacy chains Sales sales skills Skills
Warehouse Manager - Chemicals Industry,Full Time,On-site,N/A,Posted 1 month ago,151,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,"Confidential, Yearly Profit Share, Merits, Private Individual Medical Insurance, Transportation, Monthly & Quarterly Incentives, Social Insurance, Academic Training",Logistics/Supply Chain,ERP supply chain management Warehouse Management Logistics English
Maintenance Supervisor,Full Time,On-site,,Posted 15 days ago,42,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,Electrical Electrical Engineering Engineering Maintenance Management Mechanical Engineering Safety technical
Social Media Manager,Full Time,Remote,,Posted 1 month ago,79,2 open positions,2 To 5 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Marketing/PR/Advertising,Communication skills E-Marketing Advertising Social Media media Marketing Customer Service
Sales Representative,Part Time,Remote,,Posted 1 month ago,46,10 open positions,More Than 1 Year,Experienced (Non-Manager),Bachelor'S Degree,6 To 6 USD Per Hour,Customer Service/Support,Sales sales skills Sales Target Skills Communication Outbound Calls Communication skills Customer Service
Sales Trainer - (Cairo-Mansoura-Alex),Full Time,Hybrid,,Posted 11 days ago,20,4 open positions,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,Training Sales Training Sales Sales Skills Communication Skills
Pricing Analyst,Full Time,Remote,,Posted 2 months ago,146,1 open position,1 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Analyst Commerce Data Analysis English excel Finance Microsoft Office Analysis Pricing Travel
HSE Manager,Full Time,On-site,,Posted 22 days ago,130,1 open position,15 To 20 Years,Manager,Not Specified,Confidential,Operations/Management,HSE Operations Safety NEBOSH quality Engineering Manufacturing Industry ISO 14001 ISO 9001 Leadership Communication
HR Manager,Full Time,On-site,N/A,Posted 8 days ago,72,1 open position,7 To 10 Years,Manager,Not Specified,Confidential,Administration,HR Hr manager Microsoft Office Human Resources Human Resources (HR) human resources management Communication Management Personnel Payroll Recruitment Labor
Senior Talent Acquisition Specialist,Full Time,On-site,,Posted 2 months ago,90,1 open position,4 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,Human Resources (HR) Recruitment Talent acquisition
Senior Motions and Reels Creator,Full Time,On-site,,Posted 15 days ago,11,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Motion Advertising Digital Marketing reels Video Design Video Editing motions
Warehouse Manager,Full Time,On-site,,Posted 1 month ago,152,1 open position,5 To 7 Years,Manager,Bachelor'S Degree,Male,Logistics/Supply Chain,Inventory Management Warehousing Management Stock Control Logistics Management Cosmetics Management Pharmaceutical Problem Solving Supply Chain Warehouse Warehouse Management Warehousing
Preschool English Teacher- New Cairo,Full Time,On-site,,Posted 1 month ago,56,10 open positions,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Education/Teaching,Education English Preschool Teaching children Communication Communication skills English Teaching School
Accounting Manager,Full Time,On-site,N/A,Posted 2 months ago,277,1 open position,5 To 10 Years,Manager,Not Specified,"Confidential, Annual Bones",Accounting/Finance,Accounting CMA IFRS Finance Financial Financial Management Industrial Reporting Financial Analysis CPA Communication
AR Accountant,Full Time,On-site,,Posted 11 days ago,133,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Accounting/Finance,AR Accountant Accounts Receivable Accounts Reconciliation Tax excel Financial Reporting Accounting AR Finance Financial Analysis accountant
Customer Service and Reservation Associates,Full Time,Remote,,Posted 2 months ago,115,4 open positions,More Than 1 Year,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,Customer Service Hospitality
Graphic Designer,Full Time,On-site,,Posted 1 month ago,34,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,Graphic Design UI Adobe illustrator Adobe Photoshop Creative Design Graphic illustrator media photoshop Web Design UX
logistics (Incoming) specialist.),Full Time,On-site,,Posted 8 days ago,38,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Logistics/Supply Chain,English ERP Logistics Supply Chain
Homeroom Teacher/ (Nasr city),Full Time,On-site,,Posted 1 month ago,35,3 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Education/Teaching,Education English Homeroom Teaching Computer Skills
Production Engineer,Full Time,On-site,N/A,Posted 12 days ago,71,4 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Manufacturing/Production,Manufacturing Production Engineering Engineering Mechanical Engineering
Physics Teacher,Full Time,On-site,N/A,Posted 2 months ago,11,4 open positions,0 To 7 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Education/Teaching,Physics Education English Teaching Online Teaching
"Non-Voice {Mail&Chat} b2 English speakers Etisalat UAE,,",Full Time,On-site,,Posted 1 day ago,10,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Unlimited Commissions",Customer Service/Support,Customer Service Customer Support Customer Care Customer Relations Custom Clearance Customs Clearance Customer Satisfaction Customer Retention Customer Operations Performance Centre Customer Service Management English Teaching English Training English Education                      
Cost Accountant associate,Full Time,On-site,,Posted 9 days ago,31,1 open position,3 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Accounting Auditing Budgeting Cost Accounting Cost Analysis Finance Financial Analysis Cost Costing inventory Purchasing Reporting
Senior MEP Material Control Engineer,Full Time,On-site,,Posted 2 months ago,51,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Construction Materials warehouse Electrical Mechanical SAP Engineering Mechanical Engineering Procurement Infrastructure Engineering infrastucture MEP MEP Engineering Power Stations Power Station
Business Planning Senior Officer,Full Time,On-site,,Posted 1 month ago,19,1 open position,5 To 8 Years,Experienced (Non-Manager),Master'S Degree,Confidential,Accounting/Finance,Business Development Business Planning Business Administration business Project Management Economics Administration Planning Strategic Planning Finance Management
Project Architect,Full Time,On-site,,Posted 12 days ago,34,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Architecture Design Project Management
Formwork Engineer,Full Time,On-site,,Posted 1 month ago,57,2 open positions,1 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,Engineering Civil Engineering Architecture Construction Formwork Design Site Project Management Scaffolding
Workshop Manager,Full Time,On-site,,Posted 29 days ago,39,1 open position,More Than 3 Years,Manager,Bachelor'S Degree,"Confidential, Salary Is Paid On A Monthly Basis, Work 6 Days A Week From Saturday To Thursday From 8:00 AM To 5:00 PM On Thursday Work Is From 8:00 AM To 3:00 PM",Installation/Maintenance/Repair,Mechanical Engineering Engineering repair maintnance dimensional inspection Mechanical Design Welding Milling lathe dynamic balancing electroplating CAD Workshop
Sales Specialist,Full Time,On-site,,Posted 8 days ago,13,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Customer Service/Support,Sales Marketing Online Customer Service Data Entry Call Center
Product Owner,Full Time,Hybrid,,Posted 1 month ago,47,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Analysis Business Analysis Product Development Product Management Product business Development
Architecture Technical Office Engineer,Full Time,On-site,,Posted 2 months ago,35,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Architecture Engineering AutoCAD Finishing Microsoft Office Architectural Engineering Architecture Design
Senior Account Manager,Full Time,On-site,,Posted 10 days ago,27,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,account manager Account communication client relationship time management hardworker multitasker Account Management digital marketing CRM Communication skills Digital Marketing
Supply Chain Coordinator,Full Time,On-site,,Posted 1 month ago,148,1 open position,4 To 15 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Logistics Customs Clearance Procurement Shipping Supply Chain Purchasing Supply supply chain management Customs clearance Management
Head of English & Humanities,Full Time,On-site,,Posted 1 month ago,16,1 open position,More Than 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Education/Teaching,Education English School
Copywriter,Full Time,On-site,,Posted 29 days ago,16,1 open position,1 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Copywriting Content Marketing
Social Media Specialist,Full Time,On-site,,Posted 2 months ago,35,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Transportation Allowance",Marketing/PR/Advertising,Communication Digital Social Media Online Marketing E-Marketing
Lead Manager,Full Time,On-site,,Posted 1 month ago,19,1 open position,5 To 10 Years,Manager,Bachelor'S Degree,Confidential,Business Development,business CRM Communication Lead Generation Management Negotiation Operations Sales sales skills Project Management Software
Patient Care,Full Time,On-site,,Posted 4 days ago,22,4 open positions,3 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Medical/Healthcare,Healthcare Medical Patientcare Customer Service
Environmental Services Supervisor,Full Time,On-site,N/A,Posted 11 days ago,Be the First to Apply,N/A,1 To 3 Years,Manager,Bachelor'S Degree,Confidential,Logistics/Supply Chain,Services Commerce Science Customer Service Sales
Technical Office Engineer,Full Time,On-site,,Posted 2 months ago,75,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,Finishing Architecture Site Installation Communication Engineering Information Technology (IT) TO Civil Engineering Architectural Engineering Architecture Design Technical Office Engineering Technical Office
Marketing Specialist,Full Time,On-site,,Posted 30 days ago,37,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,E-Marketing digital marketing Digital Marketing Digital Communication skills SEO media Marketing Communication
